,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
209,Snack foods,311910,US,1361061.1911032994,11812100.002286172,92731457.16388912,279272.6810650092,21482926.390754446,75966.14601269594,4115272.2678991277,46780412475.066925,1571664995.4672592,27980.21778815769,0.10052208067392637,5.073486541826966,622648.8595595082,5.174008622500893,51482.179807879234,12329099.827122876,0.0,0.0,12.547138665515979,0.0,21482926.390754446,21035361.061813973,9373995753.2714
210,Coffee and tea,311920,US,527598.7945244928,4957009.906843535,38848059.0738359,111660.94655683477,214609.38307525066,30281.884053853493,705559.5800615274,17859938603.04246,281417716.6721817,24490.16927825416,0.13687957819088808,1.6048855060137404,233578.17134083723,1.741765084204629,18710.831516258473,4236265.414755844,0.0,0.0,3.359753978495494,0.0,214609.38307525066,10508762.469474459,2690817838.5305057
211,Flavored drink concentrates,311930,US,388887.323700846,4124421.459840588,32369869.18119014,1381779.414794851,37958010.299551986,21955.538926399557,3091457.3453613473,15626899585.853529,276736792.10513675,338830.29816132504,0.041768357018525645,1.7262024809421788,99813.47875728151,1.767970837960704,17951.678275277915,4181867.455305169,0.0,0.0,16.22120009222747,0.0,37958010.299551986,8735701.12568199,5487257326.087014
212,Seasonings and dressings,311940,US,1363322.8452858753,8155472.587462583,64011490.86950681,2285455.9941896996,124035826.16473226,97061.40161325538,2289052.238817654,39053198022.74471,515736295.4877511,101595.55762707841,0.1911312512382903,10.792677392962812,378719.14356050204,10.983808644201103,44054.29643513358,8605380.791356029,0.0,0.0,772.6735714850523,0.0,124035826.16473226,19686265.787170388,4854963689.867409
213,All other foods,311990,US,1249158.3889637813,9643684.01903124,75589801.56832513,648398.1500963599,4422794369.602827,254193.1359431638,3776077.9518749597,71849051835.60628,696181601.6533906,87875.53369476007,0.11406970529074172,4.664910180426423,404640.115283197,4.778979885717164,68958.23632119977,16065883.782066315,0.0,0.0,296.5140249034578,0.0,4422794369.602827,22044578.012879655,5472374491.814367
214,"Soft drinks, bottled water, and ice",312110,US,1344102.1152522704,9464443.665112637,74200929.93261562,2017476.8846158201,4063022.6265994622,58198.68891618872,1159814.1474169549,87302180319.70871,1469410694.5088034,17904.93185768663,0.0821735003841894,3.104473860293701,208169.98149416913,3.186647360677891,120179.5179222978,29345919.67373885,0.0,0.0,63.43190512049087,0.0,4063022.6265994622,21107032.684941836,10726505689.820944
215,Breweries and beer,312120,US,1714367.700366181,8306787.794239759,65100249.75159658,139371.00568363175,107525539.56115717,238258.26963177076,835457.7111466322,46355887890.32427,1469440016.5995033,40868.75349318843,0.08940933604450557,2.2676341008176473,329614.3778562129,2.3570434368621522,74141.98420020957,13029945.98268223,0.0,0.0,1.4093454758617912,0.0,107525539.56115717,35744847.271443516,13203084894.234095
216,Wineries and wine,312130,US,604771.6175510768,3545881.159201122,27789050.923093837,88998.08185147915,1403853.5445251619,59981.64801557612,754896.3943934066,46386763376.721794,171652411.34126985,7130.513581331421,0.0276618171004231,1.3918087784688336,98404.10081071437,1.4194705955692561,58462.99103387446,17767663.666140106,0.0,0.0,2.8189197578051344,0.0,1403853.5445251619,25699408.517623022,6059199495.247198
217,Distilleries and spirits,312140,US,4734937.331156376,3801751.6081113964,30820494.184326306,525896833.7534289,0.0,177461.3893263847,21643405.799345024,13250884853.628443,4329323095.8905735,594218.7150084454,0.5641766056120164,17.43152525788069,1096194.9221189928,17.995701863492705,17278.30132709093,5373705.72613581,0.0,0.0,9461.798063355398,0.0,0.0,153412651.00237203,9516787755.946177
218,Tobacco products,312200,US,324758.7361847298,17362487.718371693,136162514.9652128,751287.4514619292,660496.8182959879,11785.630971421851,594563.5409523015,14282279785.347939,554403996.9943823,7628.109542627564,0.02731069440013603,0.3428075851929184,46178.36852678882,0.3701182795930544,15927.969705797881,7805166.253648892,0.0,0.0,0.37833585076513576,0.0,660496.8182959879,4371240.329295675,41283763087.051796
